"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Perth-Melbourne","Perth","Melbourne","Tigerair Australia","Jan-20",58,56,2,37,44,19,12,2020,1,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Tigerair Australia","Jan-20",27,27,0,16,19,11,8,2020,1,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Tigerair Australia","Jan-20",30,29,1,17,18,12,11,2020,1,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Tigerair Australia","Jan-20",139,134,5,94,92,40,42,2020,1,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Tigerair Australia","Jan-20",31,31,0,28,26,3,5,2020,1,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Gold Coast","Sydney","Gold Coast","Tigerair Australia","Jan-20",97,96,1,63,58,33,38,2020,1,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Tigerair Australia","Jan-20",268,243,25,142,143,101,100,2020,1,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Tigerair Australia","Jan-20",28,28,0,19,20,9,8,2020,1,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Jan-20",111,111,0,93,98,18,13,2020,1,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia","Jan-20",27,26,1,21,21,5,5,2020,1,-34.945,138.5306,-35.3069,149.195
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Jan-20",34,34,0,33,31,1,3,2020,1,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Jan-20",257,247,10,174,168,73,79,2020,1,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Jan-20",42,42,0,34,32,8,10,2020,1,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Jan-20",162,161,1,130,128,31,33,2020,1,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Jan-20",111,110,1,77,95,33,15,2020,1,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Jan-20",143,143,0,112,124,31,19,2020,1,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Jan-20",91,88,3,69,72,19,16,2020,1,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Jan-20",32,32,0,17,18,15,14,2020,1,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Jan-20",365,347,18,242,221,105,126,2020,1,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Jan-20",112,112,0,64,78,48,34,2020,1,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Jan-20",491,485,6,357,343,128,142,2020,1,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Jan-20",143,143,0,122,124,21,19,2020,1,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Virgin Australia","Jan-20",44,44,0,34,28,10,16,2020,1,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Virgin Australia","Jan-20",100,100,0,81,79,19,21,2020,1,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Jan-20",27,26,1,20,19,6,7,2020,1,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Jan-20",91,88,3,74,74,14,14,2020,1,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Jan-20",132,125,7,83,75,42,50,2020,1,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","Virgin Australia","Jan-20",157,154,3,122,117,32,37,2020,1,-35.3069,149.195,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Jan-20",32,32,0,27,23,5,9,2020,1,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Virgin Australia","Jan-20",31,31,0,28,27,3,4,2020,1,-12.4147,130.8767,-37.669,144.841
"Darwin-Perth","Darwin","Perth","Virgin Australia","Jan-20",20,20,0,17,17,3,3,2020,1,-12.4147,130.8767,-31.9403,115.9676
"Darwin-Sydney","Darwin","Sydney","Virgin Australia","Jan-20",25,25,0,21,18,4,7,2020,1,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Jan-20",34,34,0,17,26,17,8,2020,1,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Jan-20",224,222,2,98,124,124,98,2020,1,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Jan-20",272,269,3,154,172,115,97,2020,1,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Jan-20",257,248,9,188,165,60,83,2020,1,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Jan-20",363,344,19,263,230,81,114,2020,1,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Jan-20",44,44,0,40,38,4,6,2020,1,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Jan-20",132,126,6,74,73,52,53,2020,1,-37.669,144.841,-35.3069,149.195
"Melbourne-Darwin","Melbourne","Darwin","Virgin Australia","Jan-20",31,31,0,16,18,15,13,2020,1,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Jan-20",223,221,2,169,138,52,83,2020,1,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Jan-20",155,155,0,112,106,43,49,2020,1,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Jan-20",694,659,35,519,443,140,216,2020,1,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Jan-20",43,43,0,40,40,3,3,2020,1,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Jan-20",112,112,0,91,91,21,21,2020,1,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Virgin Australia","Jan-20",20,20,0,17,17,3,3,2020,1,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Jan-20",157,157,0,132,129,25,28,2020,1,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Virgin Australia","Jan-20",126,126,0,110,111,16,15,2020,1,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Jan-20",162,161,1,123,127,38,34,2020,1,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Jan-20",491,485,6,331,338,154,147,2020,1,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Jan-20",100,100,0,65,77,35,23,2020,1,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Canberra","Sydney","Canberra","Virgin Australia","Jan-20",157,150,7,115,116,35,34,2020,1,-33.9399,151.1753,-35.3069,149.195
"Sydney-Darwin","Sydney","Darwin","Virgin Australia","Jan-20",25,25,0,20,22,5,3,2020,1,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Jan-20",271,268,3,194,182,74,86,2020,1,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Jan-20",694,661,33,476,432,185,229,2020,1,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Virgin Australia","Jan-20",126,126,0,84,102,42,24,2020,1,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia Regional Airlines","Jan-20",6,5,1,3,3,2,2,2020,1,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Virgin Australia Regional Airlines","Jan-20",31,30,1,18,17,12,13,2020,1,-34.945,138.5306,-31.9403,115.9676
"Darwin-Perth","Darwin","Perth","Virgin Australia Regional Airlines","Jan-20",11,11,0,9,11,2,0,2020,1,-12.4147,130.8767,-31.9403,115.9676
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia Regional Airlines","Jan-20",6,5,1,3,2,2,3,2020,1,-37.669,144.841,-34.945,138.5306
