Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,Jan-20,42,42,0,14,18,28,24,2020,1,-28.1644,153.5051,-37.669,144.841,42.857142857142854
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,Jan-20,158,157,1,91,107,66,50,2020,1,-28.1644,153.5051,-33.9399,151.1753,68.15286624203821
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Jan-20,255,245,10,193,176,52,69,2020,1,-37.669,144.841,-34.945,138.5306,71.83673469387755
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Jan-20,394,380,14,290,260,90,120,2020,1,-37.669,144.841,-27.3842,153.1175,68.42105263157895
Melbourne-Cairns,Melbourne,Cairns,Qantas,Jan-20,37,37,0,28,27,9,10,2020,1,-37.669,144.841,-16.8858,145.7553,72.97297297297297
Melbourne-Canberra,Melbourne,Canberra,Qantas,Jan-20,172,159,13,123,113,36,46,2020,1,-37.669,144.841,-35.3069,149.195,71.0691823899371
Melbourne-Darwin,Melbourne,Darwin,Qantas,Jan-20,26,26,0,24,25,2,1,2020,1,-37.669,144.841,-12.4147,130.8767,96.15384615384616
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,Jan-20,43,43,0,36,30,7,13,2020,1,-37.669,144.841,-28.1644,153.5051,69.76744186046511
Melbourne-Perth,Melbourne,Perth,Qantas,Jan-20,211,206,5,135,136,71,70,2020,1,-37.669,144.841,-31.9403,115.9676,66.01941747572816
Melbourne-Sydney,Melbourne,Sydney,Qantas,Jan-20,916,847,69,676,565,171,282,2020,1,-37.669,144.841,-33.9399,151.1753,66.7060212514758
Perth-Adelaide,Perth,Adelaide,Qantas,Jan-20,108,108,0,84,88,24,20,2020,1,-31.9403,115.9676,-34.945,138.5306,81.48148148148148
Perth-Brisbane,Perth,Brisbane,Qantas,Jan-20,146,145,1,121,119,24,26,2020,1,-31.9403,115.9676,-27.3842,153.1175,82.06896551724138
Perth-Darwin,Perth,Darwin,Qantas,Jan-20,31,31,0,31,31,0,0,2020,1,-31.9403,115.9676,-12.4147,130.8767,100.0
Perth-Melbourne,Perth,Melbourne,Qantas,Jan-20,211,207,4,141,158,66,49,2020,1,-31.9403,115.9676,-37.669,144.841,76.32850241545893
Perth-Sydney,Perth,Sydney,Qantas,Jan-20,196,194,2,137,142,57,52,2020,1,-31.9403,115.9676,-33.9399,151.1753,73.19587628865979
Sydney-Adelaide,Sydney,Adelaide,Qantas,Jan-20,258,254,4,197,208,57,46,2020,1,-33.9399,151.1753,-34.945,138.5306,81.88976377952756
Sydney-Brisbane,Sydney,Brisbane,Qantas,Jan-20,500,494,6,378,379,116,115,2020,1,-33.9399,151.1753,-27.3842,153.1175,76.72064777327935
Sydney-Cairns,Sydney,Cairns,Qantas,Jan-20,70,70,0,54,57,16,13,2020,1,-33.9399,151.1753,-16.8858,145.7553,81.42857142857143
