"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Hobart-Sydney","Hobart","Sydney","QantasLink","Jan-20",87,86,1,64,63,22,23,2020,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","QantasLink","Jan-20",61,61,0,55,55,6,6,2020,1
"Karratha-Perth","Karratha","Perth","QantasLink","Jan-20",126,124,2,116,118,8,6,2020,1
"Launceston-Melbourne","Launceston","Melbourne","QantasLink","Jan-20",120,113,7,75,75,38,38,2020,1
"Mackay-Brisbane","Mackay","Brisbane","QantasLink","Jan-20",125,119,6,103,96,16,23,2020,1
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Jan-20",33,29,4,21,21,8,8,2020,1
"Melbourne-Launceston","Melbourne","Launceston","QantasLink","Jan-20",120,112,8,79,80,33,32,2020,1
"Melbourne-Mildura","Melbourne","Mildura","QantasLink","Jan-20",87,78,9,46,42,32,36,2020,1
"Mildura-Melbourne","Mildura","Melbourne","QantasLink","Jan-20",87,78,9,44,44,34,34,2020,1
"Mount Isa-Brisbane","Mount Isa","Brisbane","QantasLink","Jan-20",52,52,0,41,42,11,10,2020,1
"Newcastle-Brisbane","Newcastle","Brisbane","QantasLink","Jan-20",78,75,3,68,70,7,5,2020,1
"Newman-Perth","Newman","Perth","QantasLink","Jan-20",101,91,10,72,78,19,13,2020,1
"Perth-Broome","Perth","Broome","QantasLink","Jan-20",85,81,4,67,67,14,14,2020,1
"Perth-Kalgoorlie","Perth","Kalgoorlie","QantasLink","Jan-20",61,61,0,56,56,5,5,2020,1
"Perth-Karratha","Perth","Karratha","QantasLink","Jan-20",127,126,1,112,113,14,13,2020,1
"Perth-Newman","Perth","Newman","QantasLink","Jan-20",98,91,7,76,75,15,16,2020,1
"Perth-Port Hedland","Perth","Port Hedland","QantasLink","Jan-20",113,110,3,100,97,10,13,2020,1
"Port Hedland-Perth","Port Hedland","Perth","QantasLink","Jan-20",110,106,4,93,93,13,13,2020,1
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","QantasLink","Jan-20",103,103,0,88,90,15,13,2020,1
"Port Macquarie-Sydney","Port Macquarie","Sydney","QantasLink","Jan-20",100,99,1,73,72,26,27,2020,1
"Rockhampton-Brisbane","Rockhampton","Brisbane","QantasLink","Jan-20",171,169,2,143,139,26,30,2020,1
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","QantasLink","Jan-20",60,60,0,45,45,15,15,2020,1
"Sydney-Albury","Sydney","Albury","QantasLink","Jan-20",85,73,12,45,46,28,27,2020,1
"Sydney-Armidale","Sydney","Armidale","QantasLink","Jan-20",104,103,1,73,71,30,32,2020,1
"Sydney-Brisbane","Sydney","Brisbane","QantasLink","Jan-20",4,4,0,3,3,1,1,2020,1
"Sydney-Canberra","Sydney","Canberra","QantasLink","Jan-20",323,295,28,204,199,91,96,2020,1
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","QantasLink","Jan-20",130,130,0,91,96,39,34,2020,1
"Sydney-Dubbo","Sydney","Dubbo","QantasLink","Jan-20",101,99,2,62,61,37,38,2020,1
"Sydney-Gold Coast","Sydney","Gold Coast","QantasLink","Jan-20",40,40,0,32,31,8,9,2020,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","QantasLink","Jan-20",20,20,0,17,16,3,4,2020,1
"Sydney-Hobart","Sydney","Hobart","QantasLink","Jan-20",87,87,0,60,62,27,25,2020,1
"Sydney-Port Macquarie","Sydney","Port Macquarie","QantasLink","Jan-20",101,101,0,63,64,38,37,2020,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","QantasLink","Jan-20",61,60,1,47,47,13,13,2020,1
"Sydney-Tamworth","Sydney","Tamworth","QantasLink","Jan-20",125,125,0,79,71,46,54,2020,1
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","QantasLink","Jan-20",86,84,2,52,50,32,34,2020,1
"Tamworth-Sydney","Tamworth","Sydney","QantasLink","Jan-20",123,123,0,75,73,48,50,2020,1
"Townsville-Brisbane","Townsville","Brisbane","QantasLink","Jan-20",108,106,2,93,93,13,13,2020,1
"Townsville-Cairns","Townsville","Cairns","QantasLink","Jan-20",139,137,2,122,123,15,14,2020,1
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","QantasLink","Jan-20",84,81,3,52,46,29,35,2020,1
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","Regional Express","Jan-20",176,176,0,171,170,5,6,2020,1
"Albury-Sydney","Albury","Sydney","Regional Express","Jan-20",41,38,3,34,31,4,7,2020,1
"Armidale-Sydney","Armidale","Sydney","Regional Express","Jan-20",40,40,0,34,32,6,8,2020,1
"Ballina-Sydney","Ballina","Sydney","Regional Express","Jan-20",3,3,0,1,1,2,2,2020,1
"Cairns-Townsville","Cairns","Townsville","Regional Express","Jan-20",12,11,1,7,7,4,4,2020,1
"Dubbo-Sydney","Dubbo","Sydney","Regional Express","Jan-20",81,81,0,68,64,13,17,2020,1
"Melbourne-Mildura","Melbourne","Mildura","Regional Express","Jan-20",40,40,0,23,22,17,18,2020,1
"Mildura-Melbourne","Mildura","Melbourne","Regional Express","Jan-20",40,40,0,20,17,20,23,2020,1
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","Regional Express","Jan-20",176,176,0,163,157,13,19,2020,1
"Sydney-Albury","Sydney","Albury","Regional Express","Jan-20",43,39,4,32,34,7,5,2020,1
"Sydney-Armidale","Sydney","Armidale","Regional Express","Jan-20",41,41,0,38,40,3,1,2020,1
"Sydney-Ballina","Sydney","Ballina","Regional Express","Jan-20",4,4,0,3,3,1,1,2020,1
"Sydney-Dubbo","Sydney","Dubbo","Regional Express","Jan-20",77,77,0,67,68,10,9,2020,1
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","Regional Express","Jan-20",62,59,3,49,47,10,12,2020,1
"Townsville-Cairns","Townsville","Cairns","Regional Express","Jan-20",12,11,1,9,9,2,2,2020,1
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","Regional Express","Jan-20",66,62,4,51,46,11,16,2020,1
"Adelaide-Brisbane","Adelaide","Brisbane","Tigerair Australia","Jan-20",29,27,2,22,21,5,6,2020,1
"Adelaide-Melbourne","Adelaide","Melbourne","Tigerair Australia","Jan-20",73,69,4,49,46,20,23,2020,1
"Adelaide-Sydney","Adelaide","Sydney","Tigerair Australia","Jan-20",30,29,1,17,12,12,17,2020,1
"Brisbane-Adelaide","Brisbane","Adelaide","Tigerair Australia","Jan-20",29,27,2,22,24,5,3,2020,1
"Brisbane-Cairns","Brisbane","Cairns","Tigerair Australia","Jan-20",31,30,1,23,23,7,7,2020,1
"Brisbane-Canberra","Brisbane","Canberra","Tigerair Australia","Jan-20",31,30,1,25,25,5,5,2020,1
"Brisbane-Darwin","Brisbane","Darwin","Tigerair Australia","Jan-20",19,19,0,14,16,5,3,2020,1
"Brisbane-Melbourne","Brisbane","Melbourne","Tigerair Australia","Jan-20",121,118,3,81,80,37,38,2020,1
"Brisbane-Sydney","Brisbane","Sydney","Tigerair Australia","Jan-20",139,134,5,93,91,41,43,2020,1
"Cairns-Brisbane","Cairns","Brisbane","Tigerair Australia","Jan-20",31,30,1,23,25,7,5,2020,1
"Cairns-Melbourne","Cairns","Melbourne","Tigerair Australia","Jan-20",43,43,0,31,31,12,12,2020,1
"Cairns-Sydney","Cairns","Sydney","Tigerair Australia","Jan-20",31,31,0,25,27,6,4,2020,1
"Canberra-Brisbane","Canberra","Brisbane","Tigerair Australia","Jan-20",31,30,1,24,22,6,8,2020,1
"Canberra-Melbourne","Canberra","Melbourne","Tigerair Australia","Jan-20",34,32,2,20,21,12,11,2020,1
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","Tigerair Australia","Jan-20",27,26,1,22,21,4,5,2020,1
"Darwin-Brisbane","Darwin","Brisbane","Tigerair Australia","Jan-20",18,18,0,15,15,3,3,2020,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Tigerair Australia","Jan-20",87,86,1,50,51,36,35,2020,1
"Gold Coast-Sydney","Gold Coast","Sydney","Tigerair Australia","Jan-20",97,96,1,46,49,50,47,2020,1
"Hobart-Melbourne","Hobart","Melbourne","Tigerair Australia","Jan-20",52,52,0,31,24,21,28,2020,1
"Melbourne-Adelaide","Melbourne","Adelaide","Tigerair Australia","Jan-20",73,69,4,56,53,13,16,2020,1
"Melbourne-Brisbane","Melbourne","Brisbane","Tigerair Australia","Jan-20",121,118,3,91,81,27,37,2020,1
"Melbourne-Cairns","Melbourne","Cairns","Tigerair Australia","Jan-20",43,43,0,34,34,9,9,2020,1
"Melbourne-Canberra","Melbourne","Canberra","Tigerair Australia","Jan-20",34,32,2,23,23,9,9,2020,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Tigerair Australia","Jan-20",87,87,0,66,60,21,27,2020,1
"Melbourne-Hobart","Melbourne","Hobart","Tigerair Australia","Jan-20",52,52,0,43,40,9,12,2020,1
"Melbourne-Perth","Melbourne","Perth","Tigerair Australia","Jan-20",59,57,2,42,42,15,15,2020,1
"Melbourne-Sydney","Melbourne","Sydney","Tigerair Australia","Jan-20",267,242,25,165,142,77,100,2020,1
"Perth-Melbourne","Perth","Melbourne","Tigerair Australia","Jan-20",58,56,2,37,44,19,12,2020,1
"Perth-Sydney","Perth","Sydney","Tigerair Australia","Jan-20",27,27,0,16,19,11,8,2020,1
"Proserpine-Sydney","Proserpine","Sydney","Tigerair Australia","Jan-20",19,19,0,11,10,8,9,2020,1
