Departing_Port,Arriving_Port,Airline,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude
Melbourne,Cairns,Qantas,1576,-37.669,144.841,-16.8858,145.7553
Melbourne,Cairns,Tigerair Australia,73,-37.669,144.841,-16.8858,145.7553
Melbourne,Cairns,Virgin Australia,2572,-37.669,144.841,-16.8858,145.7553
Melbourne,Canberra,Jetstar,744,-37.669,144.841,-35.3069,149.195
Melbourne,Canberra,Qantas,822,-37.669,144.841,-35.3069,149.195
Melbourne,Canberra,QantasLink,8633,-37.669,144.841,-35.3069,149.195
Melbourne,Canberra,Rex Airlines,898,-37.669,144.841,-35.3069,149.195
Melbourne,Canberra,Tigerair Australia,69,-37.669,144.841,-35.3069,149.195
Melbourne,Canberra,Virgin Australia,4810,-37.669,144.841,-35.3069,149.195
Melbourne,Darwin,Jetstar,817,-37.669,144.841,-12.4147,130.8767
Melbourne,Darwin,Qantas,1004,-37.669,144.841,-12.4147,130.8767
Melbourne,Darwin,QantasLink,153,-37.669,144.841,-12.4147,130.8767
Melbourne,Darwin,Virgin Australia,1030,-37.669,144.841,-12.4147,130.8767
Melbourne,Gold Coast,Bonza,62,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Jetstar,8101,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Qantas,1784,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,QantasLink,371,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Regional Express,157,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Rex Airlines,1126,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Tigerair Australia,157,-37.669,144.841,-28.1644,153.5051
Melbourne,Gold Coast,Virgin Australia,10132,-37.669,144.841,-28.1644,153.5051
Melbourne,Perth,Jetstar,2306,-37.669,144.841,-31.9403,115.9676
Melbourne,Perth,Qantas,7134,-37.669,144.841,-31.9403,115.9676
Melbourne,Perth,Rex Airlines,21,-37.669,144.841,-31.9403,115.9676
Melbourne,Perth,Tigerair Australia,101,-37.669,144.841,-31.9403,115.9676
Melbourne,Perth,Virgin Australia,6250,-37.669,144.841,-31.9403,115.9676
Melbourne,Sydney,Jetstar,14628,-37.669,144.841,-33.9399,151.1753
Melbourne,Sydney,Qantas,31313,-37.669,144.841,-33.9399,151.1753
Melbourne,Sydney,QantasLink,150,-37.669,144.841,-33.9399,151.1753
